"","seqnames","start","end","width","strand","Conc","Conc_metastasis","Conc_primary","Fold","p.value","FDR"
"1","chr12",5203229,5203629,401,"*",8.34745755795268,9.3299577806956,2.97343051029265,4.31008319884523,1.66305641412733e-11,2.4324528335592e-06
"2","chr11",104789198,104789598,401,"*",7.42269411756206,8.39878179208481,2.49588634545973,3.86809884812818,6.11604860320385e-10,4.47278866449504e-05
"3","chr5",65535565,65535965,401,"*",8.1028882905787,3.24911009653234,9.07772346687094,-3.76724065723971,1.41605509905098e-09,6.90392943358642e-05
"4","chr12",51371482,51371882,401,"*",8.15863653302856,4.63553673833205,9.09448518475611,-3.21249213658157,6.08597544909333e-09,0.000222539778271547
"5","chr1",201028425,201028825,401,"*",8.49699723331202,5.08869594008387,9.42740246920244,-3.14368502315572,9.54511833710116e-09,0.000279221437691553
"6","chr10",6299240,6299640,401,"*",7.884973992907,3.4972102739232,8.85009732904304,-3.40200243923426,1.7805538277205e-08,0.000434051541762851
"7","chr7",949122,949522,401,"*",8.60324285256007,5.17858531515008,9.53445165581282,-3.08358588608878,2.62040476803463e-08,0.000547529832845453
"8","chr22",27975505,27975905,401,"*",6.39692838781887,2.50774482753574,7.34740430664563,-3.18396316329912,4.31779753578513e-08,0.000789422923467595
"9","chr8",120607805,120608205,401,"*",8.31401273323154,9.27572060056827,4.0593344646561,3.27307215891551,5.05183601906641e-08,0.000821001937214144
"10","chr19",45553481,45553881,401,"*",7.18678955739307,3.87304389984913,8.11235703312728,-2.97442088196993,6.58728322038507e-08,0.00095819565845753
"11","chr7",150903603,150904003,401,"*",9.18276148300227,5.93651586654738,10.1046654747632,-2.95356271752228,7.20625187539848e-08,0.00095819565845753
"12","chr13",110546878,110547278,401,"*",9.23799568542826,6.36615347234238,10.135923670932,-2.79254624619139,8.17402840066894e-08,0.000985337542389554
"13","chr2",8611790,8612190,401,"*",7.48375493195849,8.44164397494643,3.36432376873976,3.18853585325053,8.83725404589452e-08,0.000985337542389554
"14","chr20",35318458,35318858,401,"*",9.0329889951892,6.09773514153543,9.9354580899832,-2.80957841720432,9.43138817033156e-08,0.000985337542389554
"15","chr8",113046370,113046770,401,"*",9.01821822215252,10.0046552424937,3.27849364220799,3.31755624171052,1.0901646327229e-07,0.00105129411030748
"16","chr4",154560063,154560463,401,"*",7.17008493106365,8.1358412359377,2.75621277419963,3.21050118778788,1.15002363978283e-07,0.00105129411030748
"17","chr2",81481180,81481580,401,"*",7.58721778135228,8.56182716065428,2.74621419090538,3.22430675956132,1.52418961373201e-07,0.00117179895321783
